,name,runs,balls_faced,fours,sixes,batted_out,date
0,Devon Conway,1,6,0,0,yes, March 31
1,Ruturaj Gaikwad,92,50,4,9,yes, March 31
2,Moeen Ali,23,17,4,1,yes, March 31
3,Ben Stokes,7,6,1,0,yes, March 31
4,Ambati Rayudu,12,12,0,1,yes, March 31
5,Shivam Dube,19,18,0,1,yes, March 31
6,Ravindra Jadeja,1,2,0,0,yes, March 31
7,MS Dhoni,14,7,1,1,no, March 31
8,Mitchell Santner,1,3,0,0,no, March 31
9,Wriddhiman Saha,25,16,2,2,yes, March 31
10,Shubman Gill,63,36,6,3,yes, March 31
11,Sai Sudharsan,22,17,3,0,yes, March 31
12,Hardik Pandya,8,11,0,0,yes, March 31
13,Vijay Shankar,27,21,2,1,yes, March 31
14,Rahul Tewatia,15,14,1,1,no, March 31
15,Rashid Khan,10,3,1,1,no, March 31
16,Prabhsimran Singh,23,12,2,2,yes, April 01
17,Shikhar Dhawan,40,29,6,0,yes, April 01
18,Bhanuka Rajapaksa,50,32,5,2,yes, April 01
19,Jitesh Sharma,21,11,1,2,yes, April 01
20,Sikandar Raza,16,13,1,1,yes, April 01
21,Sam Curran,26,17,0,2,no, April 01
22,M Shahrukh Khan,11,7,2,0,no, April 01
23,Mandeep Singh,2,4,0,0,yes, April 01
24,Rahmanullah Gurbaz,22,16,3,1,yes, April 01
25,Anukul Roy,4,5,1,0,yes, April 01
26,Venkatesh Iyer,34,28,3,1,yes, April 01
27,Nitish Rana,24,17,3,1,yes, April 01
28,Rinku Singh,4,4,0,0,yes, April 01
29,Andre Russell,35,19,3,2,yes, April 01
30,Shardul Thakur,8,3,0,1,no, April 01
31,Sunil Narine,7,2,0,1,no, April 01
32,KL Rahul,8,12,0,1,yes, April 01
33,Kyle Mayers,73,38,2,7,yes, April 01
34,Deepak Hooda,17,18,0,0,yes, April 01
35,Krunal Pandya,15,13,0,1,no, April 01
36,Marcus Stoinis,12,10,0,1,yes, April 01
37,Nicholas Pooran,36,21,2,3,yes, April 01
38,Ayush Badoni,18,7,1,2,yes, April 01
39,Krishnappa Gowtham,6,1,0,1,no, April 01
40,Prithvi Shaw,12,9,2,0,yes, April 01
41,David Warner,56,48,7,0,yes, April 01
42,Mitchell Marsh,0,1,0,0,yes, April 01
43,Sarfaraz Khan,4,9,1,0,yes, April 01
44,Rilee Rossouw,30,20,3,1,yes, April 01
45,Rovman Powell,1,3,0,0,yes, April 01
46,Aman Hakim Khan,4,5,0,0,yes, April 01
47,Axar Patel,16,11,1,1,yes, April 01
48,Kuldeep Yadav,6,10,0,0,no, April 01
49,Chetan Sakariya,4,4,1,0,yes, April 01
50,Mukesh Kumar,0,1,0,0,no, April 01
51,Yashasvi Jaiswal,54,37,9,0,yes, April 02
52,Jos Buttler,54,22,7,3,yes, April 02
53,Sanju Samson,55,32,3,4,yes, April 02
54,Devdutt Padikkal,2,5,0,0,yes, April 02
