,name,runs,balls_faced,fours,sixes,batted_out,date
0,Devon Conway,1,6,0,0,b Mohammed Shami, March 31
1,Ruturaj Gaikwad,92,50,4,9,c Shubman Gill b Joseph, March 31
2,Moeen Ali,23,17,4,1,c †Saha b Rashid Khan, March 31
3,Ben Stokes,7,6,1,0,c †Saha b Rashid Khan, March 31
4,Ambati Rayudu,12,12,0,1,b Little, March 31
5,Shivam Dube,19,18,0,1,c Rashid Khan b Mohammed Shami, March 31
6,Ravindra Jadeja,1,2,0,0,c Shankar b Joseph, March 31
7,MS Dhoni (c)†,14,7,1,1,not out, March 31
8,Mitchell Santner,1,3,0,0,not out, March 31
9,Wriddhiman Saha †,25,16,2,2,c Dube b Hangargekar, March 31
10,Shubman Gill,63,36,6,3,c Gaikwad b Deshpande, March 31
11,Sai Sudharsan,22,17,3,0,c †Dhoni b Hangargekar, March 31
12,Hardik Pandya (c),8,11,0,0,b Jadeja, March 31
13,Vijay Shankar,27,21,2,1,c Santner b Hangargekar, March 31
14,Rahul Tewatia,15,14,1,1,not out, March 31
15,Rashid Khan,10,3,1,1,not out, March 31
16,Prabhsimran Singh,23,12,2,2,c †Rahmanullah Gurbaz b Southee, April 01
17,Shikhar Dhawan (c),40,29,6,0,b Varun, April 01
18,Bhanuka Rajapaksa,50,32,5,2,c Singh b Yadav, April 01
19,Jitesh Sharma †,21,11,1,2,c Yadav b Southee, April 01
20,Sikandar Raza,16,13,1,1,c Rana b Narine, April 01
21,Sam Curran,26,17,0,2,not out, April 01
22,M Shahrukh Khan,11,7,2,0,not out, April 01
23,Mandeep Singh,2,4,0,0,c Curran b Arshdeep Singh, April 01
24,Rahmanullah Gurbaz †,22,16,3,1,b Ellis, April 01
25,Anukul Roy,4,5,1,0,c Sikandar Raza b Arshdeep Singh, April 01
26,Venkatesh Iyer,34,28,3,1,c Chahar b Arshdeep Singh, April 01
27,Nitish Rana (c),24,17,3,1,c Chahar b Sikandar Raza, April 01
28,Rinku Singh,4,4,0,0,c Sikandar Raza b Chahar, April 01
29,Andre Russell,35,19,3,2,c Sikandar Raza b Curran, April 01
30,Shardul Thakur,8,3,0,1,not out, April 01
31,Sunil Narine,7,2,0,1,not out, April 01
32,KL Rahul (c),8,12,0,1,c Patel b Sakariya, April 01
33,Kyle Mayers,73,38,2,7,b Patel, April 01
34,Deepak Hooda,17,18,0,0,c Warner b Kuldeep Yadav, April 01
35,Krunal Pandya,15,13,0,1,not out, April 01
36,Marcus Stoinis,12,10,0,1,c †Khan b Ahmed, April 01
37,Nicholas Pooran †,36,21,2,3,c Shaw b Ahmed, April 01
38,Ayush Badoni,18,7,1,2,c †Khan b Sakariya, April 01
39,Krishnappa Gowtham,6,1,0,1,not out, April 01
40,Prithvi Shaw,12,9,2,0,b Wood, April 01
41,David Warner (c),56,48,7,0,c Gowtham b Avesh Khan, April 01
42,Mitchell Marsh,0,1,0,0,b Wood, April 01
43,Sarfaraz Khan †,4,9,1,0,c Gowtham b Wood, April 01
44,Rilee Rossouw,30,20,3,1,c Mayers b Ravi Bishnoi, April 01
45,Rovman Powell,1,3,0,0,lbw b Ravi Bishnoi, April 01
46,Aman Hakim Khan,4,5,0,0,c †Pooran b Avesh Khan, April 01
47,Axar Patel,16,11,1,1,c sub (PN Mankad) b Wood, April 01
48,Kuldeep Yadav,6,10,0,0,not out, April 01
49,Chetan Sakariya,4,4,1,0,c Pandya b Wood, April 01
50,Mukesh Kumar,0,1,0,0,not out, April 01
51,Yashasvi Jaiswal,54,37,9,0,c Agarwal b Fazalhaq Farooqi, April 02
52,Jos Buttler,54,22,7,3,b Fazalhaq Farooqi, April 02
53,Sanju Samson (c)†,55,32,3,4,c Abhishek Sharma b Natarajan, April 02
54,Devdutt Padikkal,2,5,0,0,b Umran Malik, April 02
55,Riyan Parag,7,6,1,0,c Fazalhaq Farooqi b Natarajan, April 02
56,Shimron Hetmyer,22,16,1,1,not out, April 02
57,Ravichandran Ashwin,1,2,0,0,not out, April 02
58,Abhishek Sharma,0,3,0,0,b Boult, April 02
59,Mayank Agarwal,27,23,3,0,c Buttler b Chahal, April 02
60,Rahul Tripathi,0,2,0,0,c Holder b Boult, April 02
61,Harry Brook,13,21,1,0,b Chahal, April 02
62,Washington Sundar,1,5,0,0,c Hetmyer b Holder, April 02
63,Glenn Phillips †,8,6,0,1,c Asif b Ashwin, April 02
64,Abdul Samad,32,32,2,1,not out, April 02
65,Adil Rashid,18,13,1,1,st †Samson b Chahal, April 02
66,Bhuvneshwar Kumar (c),6,10,0,0,b Chahal, April 02
67,Umran Malik,19,8,1,2,not out, April 02
68,Rohit Sharma (c),1,10,0,0,c †Karthik b Akash Deep, April 02
69,Ishan Kishan †,10,13,2,0,c Patel b Mohammed Siraj, April 02
70,Cameron Green,5,4,1,0,b Topley, April 02
71,Suryakumar Yadav,15,16,1,0,c Shahbaz Ahmed b Bracewell, April 02
72,Tilak Varma,84,46,9,4,not out, April 02
