,name,runs,balls_faced,fours,sixes,count
38,Faf du Plessis,405,245,33,25,7
35,Devon Conway,314,219,33,12,7
30,David Warner,285,236,42,0,6
134,Virat Kohli,279,197,25,11,7
109,Ruturaj Gaikwad,270,183,14,17,7
55,KL Rahul,262,230,27,3,7
131,Venkatesh Iyer,254,159,21,16,7
39,Glenn Maxwell,253,134,13,23,7
54,Jos Buttler,244,168,24,9,7
61,Kyle Mayers,243,161,19,16,7
116,Shikhar Dhawan,233,159,29,8,4
103,Rinku Singh,233,148,13,17,7
119,Shubman Gill,228,165,25,5,6
140,Yashasvi Jaiswal,227,163,32,6,7
124,Tilak Varma,217,139,17,14,6
8,Ajinkya Rahane,209,105,18,11,5
117,Shimron Hetmyer,188,113,7,15,7
118,Shivam Dube,184,117,8,15,6
112,Sanju Samson,181,114,13,12,7
88,Nitish Rana,181,129,17,11,7
106,Rohit Sharma,179,126,20,10,6
110,Sai Sudharsan,176,142,14,4,5
87,Nicholas Pooran,171,92,11,15,7
48,Ishan Kishan,170,120,21,7,6
27,Cameron Green,166,107,15,6,6
34,Devdutt Padikkal,165,137,19,3,6
91,Prabhsimran Singh,159,100,14,11,7
44,Harry Brook,156,114,21,3,6
22,Axar Patel,148,100,11,9,6
52,Jitesh Sharma,145,97,11,10,7
97,Rahul Tripathi,145,121,18,4,6
71,Marcus Stoinis,144,99,10,9,7
111,Sam Curran,142,103,11,8,7
138,Wriddhiman Saha,137,99,19,3,6
132,Vijay Shankar,129,80,10,6,4
122,Suryakumar Yadav,123,73,12,7,6
7,Aiden Markram,121,77,10,6,5
41,Hardik Pandya,115,95,7,5,5
74,Mayank Agarwal,115,108,11,1,6
125,Tim David,113,77,4,7,6
13,Andre Russell,107,76,7,8,7
50,Jason Roy,104,65,10,6,2
59,Krunal Pandya,103,89,9,4,7
94,Rahmanullah Gurbaz,102,87,10,5,5
29,David Miller,102,79,6,4,5
115,Shardul Thakur,101,51,12,4,5
69,Manish Pandey,97,80,12,1,4
36,Dhruv Jurel,96,51,7,6,6
73,Matthew Short,90,66,13,3,5
23,Ayush Badoni,85,65,5,2,6
12,Ambati Rayudu,83,59,7,4,6
120,Sikandar Raza,79,62,5,4,4
65,M Shahrukh Khan,78,44,6,5,7
43,Harpreet Singh,76,59,8,3,3
79,Moeen Ali,74,55,8,3,5
25,Bhanuka Rajapaksa,71,59,6,2,3
46,Heinrich Klaasen,69,38,7,3,3
3,Abhishek Sharma,67,48,6,3,4
1,Abdul Samad,62,54,4,3,3
37,Dinesh Karthik,61,45,7,1,7
66,MS Dhoni,61,31,2,6,5
101,Ravindra Jadeja,57,39,1,5,5
100,Ravichandran Ashwin,56,39,4,3,6
105,Riyan Parag,54,48,3,3,5
62,Lalit Yadav,48,42,5,0,4
93,Prithvi Shaw,47,40,8,0,6
102,Rilee Rossouw,44,33,5,1,3
2,Abhinav Manohar,44,26,3,3,3
84,Narayan Jagadeesan,43,37,6,1,4
67,Mahipal Lomror,41,38,2,2,4
33,Deepak Hooda,41,51,1,1,7
114,Shahbaz Ahmed,40,34,3,1,5
136,Washington Sundar,36,45,3,0,4
113,Sarfaraz Khan,34,43,3,0,2
4,Abishek Porel,33,31,1,2,4
42,Harpreet Brar,33,26,3,1,5
20,Atharva Taide,33,22,4,1,3
15,Anrich Nortje,32,20,6,0,4
14,Anmolpreet Singh,31,26,3,1,1
70,Marco Jansen,30,28,4,0,2
11,Aman Hakim Khan,30,25,1,2,4
86,Nehal Wadhera,27,18,2,2,3
58,Krishnappa Gowtham,24,14,0,2,3
32,David Willey,24,22,3,0,2
96,Rahul Tewatia,23,19,2,1,4
47,Hrithik Shokeen,23,16,4,0,2
6,Adil Rashid,22,16,2,1,2
123,Suyash Prabhudessai,19,13,0,2,2
76,Michael Bracewell,19,18,1,1,1
128,Umesh Yadav,19,18,1,0,5
129,Umran Malik,19,8,1,2,2
60,Kuldeep Yadav,17,25,1,0,5
18,Arshad Khan,17,13,0,1,2
9,Akash Deep,17,8,2,1,1
16,Anuj Rawat,16,27,1,0,2
24,Ben Stokes,15,14,2,0,2
68,Mandeep Singh,14,16,0,1,3
121,Sunil Narine,13,16,1,1,7
63,Liam Livingstone,12,16,0,1,2
72,Mark Wood,11,5,1,1,2
98,Rashid Khan,11,4,1,1,2
51,Jaydev Unadkat,9,7,1,0,1
26,Bhuvneshwar Kumar,8,15,0,0,3
40,Glenn Phillips,8,6,0,1,1
135,Wanindu Hasaranga de Silva,8,9,0,0,2
108,Rovman Powell,7,9,1,0,3
99,Ravi Bishnoi,6,4,0,0,3
45,Harshal Patel,6,6,0,1,2
77,Mitchell Marsh,6,18,1,0,4
127,Tristan Stubbs,5,10,0,0,1
89,Phil Salt,5,3,1,0,1
90,Piyush Chawla,5,6,0,0,1
17,Anukul Roy,4,6,1,0,2
64,Litton Das,4,4,1,0,1
28,Chetan Sakariya,4,4,1,0,1
139,Yash Dhull,3,8,0,0,2
137,Wayne Parnell,2,5,0,0,1
75,Mayank Markande,2,2,0,0,1
78,Mitchell Santner,2,4,0,0,2
130,Varun Chakravarthy,1,9,0,0,2
0,Abdul Basith,1,1,0,0,1
57,Karn Sharma,1,3,0,0,1
81,Mohit Rathee,1,2,0,0,1
5,Adam Zampa,1,1,0,0,1
31,David Wiese,1,2,0,0,1
49,Jason Holder,1,2,0,0,2
53,Jofra Archer,1,2,0,0,1
104,Rishi Dhawan,1,1,0,0,1
80,Mohammed Siraj,1,1,0,0,1
141,Yudhvir Singh,1,2,0,0,2
82,Mukesh Kumar,1,2,0,0,2
83,Mustafizur Rahman,1,1,0,0,1
85,Nathan Ellis,1,7,0,0,2
56,Kagiso Rabada,0,1,0,0,1
133,Vijaykumar Vyshak,0,1,0,0,1
126,Trent Boult,0,1,0,0,1
92,Prerak Mankad,0,0,0,0,1
21,Avesh Khan,0,1,0,0,1
19,Arshdeep Singh,0,0,0,0,1
10,Alzarri Joseph,0,0,0,0,1
95,Rahul Chahar,0,8,0,0,1
107,Romario Shepherd,0,1,0,0,1
